"1A0",41.9,-12.5,"SMO of Malta"
"1S",8.9,-111.9,"Spratly Is."
"2E",54,1,"England"
"2M",56,3,"Scotland"
"3A",43.7,-7.4,"Monaco"
"3B6",-14,-57.5,"Agalega, St.Brandon"
"3B7",-14,-57.5,"Agalega, St.Brandon"
"3B8",-20.3,-57.5,"Mauritius"
"3B9",-19.7,-63.4,"Rodriques Is."
"3C",2.5,-9,"Equatorial Guinea"
"3C0",2.5,-9,"Pagalu Is."
"3D2",-18.1,-178.3,"Fiji"
"3D2C",-21.7,-174.5,"Conway Reef"
"3D2R",-15.5,-177.1,"Rotuma Is."
"3DA",-26.4,-31.1,"Swaziland"
"3V",38.75,-10.3,"Tunisia"
"3W",10.8,-106.7,"Vietnam"
"3X",9.5,13.7,"Republic of Guinea"
"3Y/B",-54.0,-3.4,"Bouvet Is."
"3Y/P",-68,91,"Peter I Is."
"4J",40.5,-50.0,"Azerbaijan"
"4L",41.5,-45.0,"Georgia"
"4S",7,-80,"Sri Lanka"
"4U1ITU",46.2,-6.2,"ITU Geneva"
"4U1UN",40.8,73.8,"UN New York"
"4W",-8.6,-125.6,"East Timor"
"4X",31.8,-35.2,"Israel"
"4Z",31.8,-35.2,"Israel"
"5A",32.2,-15,"Libya"
"5B",35.2,-33.4,"Cyprus"
"5H",-7,-39.5,"Tanzania"
"5N",6.5,-3.5,"Nigeria"
"5R",-18.5,-47.5,"Madagascar"
"5T",18.1,16,"Mauritania"
"5U",13.5,-2,"Niger Republic"
"5V",5.8,-1.1,"Togo"
"5W",-13.5,-171.8,"Western Samoa"
"5X",.3,-32.5,"Uganda"
"5Y",1.3,-76.8,"Kenya"
"5Z",1.3,-76.8,"Kenya"
"6W",14.7,17.5,"Senegal"
"6Y",18,76.8,"Jamaica"
"7O",15.4,-44.2,"Yemen"
"7P",-29.3,-27.5,"Lesotho"
"7Q",-15,-34,"Malawi"
"7X",36.6,-3,"Algeria"
"7Z",24,-46,"Saudi Arabia"
"8P",13.1,59.6,"Barbados"
"8Q",4.4,-73.4,"Maldives"
"8R",6.8,58.3,"Guyana"
"9A",45.5,-18,"Croatia"
"9G",5.5,1.0,"Ghana"
"9H",36,-14.4,"Malta"
"9J",-15,0,"Zambia"
"9K",29.5,-47.8,"Kuwait"
"9L",8.5,13.3,"Sierra Leone"
"9M2",3.2,-101.6,"West Malaysia"
